gen,eval,value_loss,policy_loss,buffer,decisive,selfplay_s,train_s,total_s
0,heuristic,0.250744,1.057392,1449,0,13.51,15.27,28.87
1,network,0.127728,1.050688,2673,0,50.30,12.69,63.06
2,network,0.105862,1.043082,3641,0,28.00,12.55,40.62
3,network,0.064832,1.055877,4663,0,30.92,12.29,43.25
4,network,0.145752,1.042577,5620,0,22.56,12.18,34.79
5,network,0.063124,1.036233,6675,0,25.24,11.98,37.29
6,network,0.026163,1.032822,7558,0,17.63,12.04,29.74
7,network,0.067331,1.053518,8579,0,30.78,12.14,42.98
8,network,0.074854,1.052536,9492,0,16.73,11.98,28.76
9,network,0.064119,1.052926,10421,0,23.84,13.73,37.64
10,network,0.113571,1.044024,11358,0,27.10,15.90,43.04
11,network,0.044121,1.054463,12417,0,18.97,12.01,31.04
12,network,0.042770,1.051017,13332,0,29.15,12.22,41.41
13,network,0.025187,1.051167,14185,0,23.40,12.24,35.70
14,network,0.021499,1.053306,15057,0,22.65,12.32,35.04
15,network,0.030725,1.057149,15961,0,22.95,12.37,35.39
16,network,0.031420,1.046852,16907,0,29.41,15.47,44.94
17,network,0.021740,1.049491,17864,0,29.97,11.86,41.90
18,network,0.042968,1.050952,18777,0,19.95,12.07,32.06
19,network,0.097037,1.052061,19759,0,25.58,11.87,37.49
