gen,eval,value_loss,val_value_loss,policy_loss,buffer,decisive,selfplay_s,train_s,total_s
0,heuristic,0.759899,0.823419,1.234024,8219,0,142.46,40.10,184.22
1,network,0.482516,0.211423,1.219864,15618,0,698.46,44.22,744.32
2,network,0.397908,0.378432,1.204880,20000,0,570.65,27.75,599.40
3,network,0.465206,0.347482,1.203645,20000,0,531.12,21.14,553.07
4,network,0.435669,0.415713,1.194446,20000,0,242.94,18.87,262.54
5,network,0.465646,0.379528,1.204001,20000,0,229.05,16.71,246.46
6,network,0.443233,0.461663,1.216325,20000,0,220.51,16.32,237.57
7,network,0.454345,0.878436,1.218543,20000,1,258.48,16.55,275.76
8,network,0.428659,0.267354,1.221977,20000,0,240.33,16.35,257.43
9,network,0.406012,0.775689,1.220398,20000,1,235.84,16.50,253.08
10,network,0.397128,0.502870,1.216542,20000,0,219.26,16.01,235.94
11,network,0.373195,0.489108,1.212829,20000,0,241.53,15.79,258.12
12,network,0.380128,0.468114,1.221131,20000,1,241.78,16.15,258.65
13,network,0.351331,0.472973,1.211432,20000,0,234.83,16.07,251.59
14,network,0.406879,0.468320,1.216821,20000,0,210.82,16.21,227.84
15,network,0.404286,0.558711,1.221414,20000,0,223.21,16.24,240.13
16,network,0.457760,0.499082,1.229266,20000,0,215.79,16.20,232.70
17,network,0.445699,0.246688,1.227105,20000,0,222.25,16.24,239.14
18,network,0.413729,0.172431,1.237017,20000,0,220.52,16.05,237.27
19,network,0.484966,0.296933,1.238447,20000,0,213.76,16.28,230.68
20,network,0.452778,0.409756,1.230118,20000,0,210.69,16.16,227.48
21,network,0.411582,0.519009,1.228800,20000,0,210.63,16.03,227.35
22,network,0.335003,0.357763,1.228608,20000,0,197.94,15.98,214.55
23,network,0.405807,0.384045,1.230049,20000,0,205.68,16.35,222.74
24,network,0.463188,0.302601,1.234293,20000,0,211.04,16.10,227.78
25,network,0.479060,0.650252,1.227643,20000,1,242.42,16.32,259.56
26,network,0.464361,0.725155,1.220134,20000,0,226.23,16.17,243.14
27,network,0.409307,0.541700,1.216686,20000,0,220.75,16.07,237.61
28,network,0.340055,0.466581,1.220830,20000,0,229.83,16.14,246.74
29,network,0.402053,0.407434,1.220046,20000,0,222.78,15.93,239.41
30,network,0.372021,0.275722,1.229733,20000,0,221.22,16.15,238.02
31,network,0.334653,0.266179,1.224673,20000,0,231.11,16.19,247.96
32,network,0.378858,0.374086,1.221422,20000,0,205.05,15.92,221.61
33,network,0.314118,0.454353,1.210526,20000,0,208.54,16.04,225.29
34,network,0.386177,0.278324,1.217503,20000,0,218.99,15.74,235.39
35,network,0.376560,0.526933,1.219725,20000,1,230.50,15.80,247.01
36,network,0.400756,0.348554,1.225719,20000,0,225.65,16.02,242.32
37,network,0.364234,0.251039,1.219595,20000,0,209.49,15.76,225.91
38,network,0.394914,0.278145,1.221287,20000,0,201.34,15.78,217.80
39,network,0.383632,0.421108,1.212771,20000,0,211.22,16.02,227.91
40,network,0.396351,0.261999,1.221584,20000,0,203.50,17.11,221.26
41,network,0.402738,0.387741,1.223857,20000,0,199.38,15.92,215.94
42,network,0.455126,0.425421,1.228212,20000,0,205.56,16.02,222.30
43,network,0.499719,0.483218,1.226495,20000,0,230.29,16.13,247.13
44,network,0.484572,0.410593,1.227784,20000,0,199.54,15.93,216.14
45,network,0.478628,0.514584,1.222245,20000,1,228.93,15.99,245.64
46,network,0.445737,0.429933,1.220757,20000,0,223.84,15.96,240.53
47,network,0.428774,0.370346,1.224097,20000,0,206.70,16.00,223.32
48,network,0.417710,0.590578,1.225339,20000,0,223.19,16.05,239.92
49,network,0.406411,0.598440,1.227765,20000,0,216.05,16.02,232.84
