gen,eval,turn_cap,value_loss,val_value_loss,policy_loss,buffer,decisive,selfplay_s,train_s,total_s
0,heuristic,5,0.570867,0.340496,1.147836,609,0,4.17,4.20,8.49
1,network,5,0.499239,0.585528,1.135739,1242,0,50.59,10.40,61.27
2,network,5,0.463097,0.509963,1.134468,1853,0,33.83,12.56,46.58
3,network,5,0.436619,0.876079,1.140429,2477,0,31.30,16.96,48.38
4,network,6,0.461666,0.356129,1.135563,3205,0,32.21,21.96,54.30
5,network,6,0.394349,0.375211,1.141502,3957,0,36.40,21.65,58.19
6,network,6,0.429202,0.685835,1.149975,4685,0,38.75,25.56,64.53
7,network,6,0.425950,0.546874,1.145153,5442,0,43.09,24.16,67.39
8,network,7,0.438210,0.590641,1.138033,6342,0,64.03,21.76,85.96
9,network,7,0.453157,0.449999,1.140466,7308,0,47.22,27.02,74.42
10,network,7,0.471151,0.454740,1.148380,8214,0,56.18,22.58,78.94
11,network,7,0.422841,0.302859,1.146921,9155,0,47.60,22.21,69.97
12,network,8,0.433979,0.851940,1.146053,10283,0,73.78,26.33,100.34
13,network,8,0.475775,0.673920,1.148933,11421,0,78.44,27.62,106.27
14,network,8,0.477865,0.520884,1.149894,12557,0,68.61,23.26,92.09
15,network,8,0.451512,0.515584,1.151575,13645,0,67.27,22.62,90.10
16,network,9,0.479517,0.282572,1.152996,14921,0,69.24,21.43,90.87
17,network,9,0.480598,0.576948,1.156963,16167,0,578.64,49.59,628.75
18,network,9,0.472992,0.829941,1.154009,17438,0,84.54,24.49,109.35
19,network,9,0.477550,0.628324,1.156584,18739,0,88.06,25.47,113.83
20,network,10,0.467049,0.565111,1.161664,20000,0,143.17,26.31,169.77
21,network,10,0.510520,0.899523,1.156451,20000,0,113.96,26.20,140.48
22,network,10,0.529391,0.631840,1.160937,20000,0,112.43,27.37,140.15
23,network,10,0.479610,0.517815,1.157098,20000,0,98.87,23.18,122.36
24,network,11,0.605932,0.611710,1.163776,20000,0,95.13,22.84,118.25
25,network,11,0.587948,0.694699,1.163763,20000,0,119.86,23.49,143.75
26,network,11,0.564938,0.752110,1.165468,20000,0,152.32,31.97,184.68
27,network,11,0.548612,0.651356,1.162619,20000,0,134.16,33.84,168.32
28,network,12,0.564832,0.359947,1.169535,20000,0,137.98,25.34,163.74
29,network,12,0.551655,0.472898,1.169743,20000,0,157.61,28.75,186.82
30,network,12,0.594958,0.622680,1.171901,20000,0,160.24,53.09,213.73
