gen,eval,turn_cap,value_loss,val_value_loss,policy_loss,buffer,decisive,selfplay_s,train_s,total_s
0,heuristic,5,0.901763,1.100080,1.135520,708,0,4.52,4.91,9.58
1,network,5,0.882955,0.826188,1.134360,1271,0,18.74,8.54,27.42
2,network,5,0.809809,1.226524,1.135013,1951,0,27.40,13.52,41.04
3,network,5,0.812439,0.885348,1.149503,2370,0,12.11,15.85,28.06
4,network,5,0.808148,0.296973,1.152138,2980,0,22.74,19.38,42.23
5,network,5,0.806456,1.014003,1.146579,3575,0,21.88,15.60,37.57
6,network,5,0.791597,0.898034,1.148218,4187,0,13.40,15.36,28.86
7,network,6,0.796945,1.018190,1.154280,5042,0,21.03,15.40,36.53
8,network,6,0.803312,0.898120,1.146359,5770,0,19.42,14.62,34.15
9,network,6,0.807064,0.948578,1.148227,6479,0,12.80,16.04,28.94
10,network,6,0.830031,0.789139,1.144697,7326,0,18.37,15.01,33.49
11,network,6,0.856421,0.801256,1.141477,8088,0,16.43,14.73,31.25
12,network,6,0.827034,1.005561,1.142449,8885,0,19.51,16.37,36.01
13,network,6,0.794861,0.695934,1.144834,9682,0,25.61,15.27,40.98
14,network,7,0.833337,1.061800,1.143442,10665,0,21.24,14.31,35.67
15,network,7,0.843936,0.973691,1.139105,11511,0,18.30,14.53,32.93
16,network,7,0.826279,0.949168,1.141228,12479,0,30.13,18.91,49.20
17,network,7,0.825792,1.254686,1.145350,13414,0,27.66,17.04,44.83
18,network,7,0.828782,0.768628,1.144599,14273,0,16.03,13.79,29.93
19,network,7,0.811955,0.885778,1.139578,15255,0,23.83,13.82,37.78
20,network,8,0.834350,0.962705,1.143613,16419,0,25.18,13.85,39.18
21,network,8,0.839433,0.958979,1.144939,17537,0,29.20,16.79,46.17
22,network,8,0.826914,0.989036,1.145242,18608,0,31.89,14.46,46.48
23,network,8,0.859038,0.877958,1.143364,19722,0,30.38,15.06,45.59
24,network,8,0.831204,0.953709,1.144435,20000,0,39.51,19.18,58.88
25,network,8,0.856951,0.746622,1.139998,20000,1,39.45,17.15,56.79
26,network,8,0.856265,0.804736,1.150501,20000,0,38.89,15.99,55.03
27,network,9,0.855268,0.619165,1.138732,20000,0,50.98,21.07,72.27
28,network,9,0.836104,1.039633,1.146294,20000,0,54.24,18.77,73.19
29,network,9,0.831608,0.873734,1.152096,20000,0,40.40,15.43,56.00
30,network,9,0.839116,0.895548,1.156026,20000,0,45.47,16.40,62.03
31,network,9,0.882068,0.980778,1.157772,20000,0,50.44,15.56,66.19
32,network,9,0.861805,1.037758,1.161422,20000,0,42.55,15.66,58.42
33,network,9,0.874094,0.801116,1.165875,20000,0,43.16,15.33,58.66
34,network,10,0.889262,0.838072,1.174174,20000,0,47.48,16.31,63.98
35,network,10,0.877572,0.801510,1.168058,20000,0,47.62,15.43,63.27
36,network,10,0.895267,0.973214,1.174472,20000,0,50.04,18.66,68.92
37,network,10,0.866924,0.961963,1.167094,20000,0,59.49,17.48,77.20
38,network,10,0.894741,0.895825,1.180852,20000,0,52.75,16.35,69.28
39,network,10,0.880674,0.739161,1.181573,20000,0,52.21,16.68,69.08
40,network,11,0.896052,0.897745,1.188957,20000,0,52.24,15.46,67.91
41,network,11,0.917212,1.016009,1.186137,20000,0,56.50,15.84,72.57
42,network,11,0.895803,0.915697,1.180144,20000,0,62.02,14.67,76.89
43,network,11,0.878853,0.989593,1.186151,20000,0,64.86,16.95,82.05
44,network,11,0.854605,0.987852,1.189776,20000,0,64.56,15.95,80.71
45,network,11,0.847517,1.151599,1.184435,20000,0,74.40,16.69,91.34
46,network,11,0.869797,0.933055,1.181911,20000,0,50.01,15.07,65.30
47,network,12,0.849378,0.891103,1.184902,20000,0,72.80,15.91,88.99
48,network,12,0.851891,0.686517,1.189354,20000,0,59.75,15.25,75.26
49,network,12,0.822811,0.835657,1.185264,20000,0,54.86,15.33,70.46
