gen,eval,turn_cap,mix_w,value_loss,val_value_loss,val_sign_acc,policy_loss,buffer,decisive,selfplay_s,train_s,total_s
0,heuristic,5,0.000,0.998592,1.125922,0.4559,1.139990,713,0,2.34,3.44,5.87
1,network,5,0.030,0.831884,0.871589,0.4483,1.117083,1347,0,14.29,6.04,20.42
2,network,5,0.060,0.790600,0.510842,0.5000,1.114274,1995,0,14.93,9.41,24.42
3,network,5,0.090,0.776647,0.679665,0.5176,1.114207,2625,0,13.45,11.72,25.25
4,network,5,0.120,0.733214,0.850870,0.5667,1.121281,3256,0,15.18,13.88,29.13
5,network,5,0.150,0.679557,0.973944,0.5401,1.127590,3893,0,14.38,13.89,28.35
6,network,5,0.180,0.651143,0.374858,0.4167,1.127616,4450,0,11.56,13.92,25.56
7,network,5,0.210,0.623305,0.851627,0.5619,1.124252,5058,0,12.61,14.29,26.99
8,network,5,0.240,0.613061,0.975953,0.4815,1.129396,5670,0,15.86,15.19,31.15
9,network,6,0.270,0.588027,0.666243,0.6316,1.130292,6419,0,18.52,13.85,32.47
10,network,6,0.300,0.573059,0.993193,0.5404,1.133442,7210,0,17.30,14.17,31.57
11,network,6,0.300,0.573179,0.971346,0.5617,1.129409,7964,0,19.92,15.08,35.12
12,network,6,0.300,0.542707,0.839467,0.4961,1.144786,8752,0,24.30,14.86,39.29
13,network,6,0.300,0.520529,0.650471,0.5490,1.136182,9527,0,20.57,15.34,36.01
14,network,6,0.300,0.524936,0.925354,0.3581,1.132399,10402,0,22.30,14.06,36.47
15,network,6,0.300,0.532298,0.992126,0.5430,1.137170,11169,0,16.72,15.65,32.46
16,network,6,0.300,0.510447,0.985337,0.5532,1.143186,11898,0,18.70,15.42,34.21
17,network,7,0.300,0.516416,0.843319,0.5660,1.136595,12870,0,26.87,14.40,41.40
18,network,7,0.300,0.490445,0.980923,0.5070,1.138809,13582,0,14.27,14.91,29.29
19,network,7,0.300,0.498836,0.836450,0.5443,1.137435,14417,0,19.32,14.01,33.45
20,network,7,0.300,0.475730,0.942605,0.5577,1.137933,15375,0,23.82,15.27,39.22
21,network,7,0.300,0.486800,0.810810,0.6453,1.144842,16327,0,26.47,14.88,41.48
22,network,7,0.300,0.472002,0.854689,0.6650,1.141963,17294,0,26.07,16.24,42.44
23,network,7,0.300,0.488921,0.855754,0.5064,1.139618,18280,0,22.93,14.44,37.50
24,network,7,0.300,0.476963,0.743586,0.6818,1.145035,19209,0,22.37,15.86,38.37
25,network,8,0.300,0.470506,0.919216,0.4322,1.144552,20000,0,33.24,15.44,48.86
26,network,8,0.300,0.437311,0.808213,0.6667,1.153650,20000,0,34.41,15.83,50.40
27,network,8,0.300,0.413553,0.967372,0.5631,1.154231,20000,0,35.64,15.59,51.37
28,network,8,0.300,0.396020,0.914904,0.6410,1.162332,20000,0,31.71,15.07,46.91
29,network,8,0.300,0.398269,0.779932,0.5900,1.159328,20000,0,38.96,14.89,54.01
30,network,8,0.300,0.404674,0.838135,0.5714,1.160261,20000,0,27.75,14.84,42.74
31,network,8,0.300,0.405034,0.964420,0.5675,1.158919,20000,0,27.59,15.00,42.73
32,network,8,0.300,0.405296,0.764476,0.6207,1.160272,20000,0,37.60,19.37,57.22
33,network,8,0.300,0.383307,0.754307,0.6863,1.162181,20000,0,31.08,15.43,46.69
34,network,9,0.300,0.408861,0.799645,0.5053,1.166570,20000,0,37.24,16.30,53.72
35,network,9,0.300,0.397676,0.706672,0.6355,1.166246,20000,0,34.10,16.20,50.48
36,network,9,0.300,0.418606,0.990619,0.5797,1.167928,20000,0,48.72,15.43,64.34
37,network,9,0.300,0.413127,0.815715,0.5845,1.171467,20000,0,36.09,19.13,55.46
38,network,9,0.300,0.399227,0.957720,0.5940,1.176242,20000,0,39.06,15.77,55.03
39,network,9,0.300,0.421379,1.016069,0.5075,1.176383,20000,0,45.28,17.50,63.00
40,network,9,0.300,0.394756,0.978142,0.5726,1.173713,20000,0,39.92,15.42,55.50
41,network,9,0.300,0.423582,0.883294,0.6032,1.174450,20000,0,37.72,16.13,54.06
42,network,10,0.300,0.435461,0.917426,0.5825,1.179500,20000,0,55.92,16.25,72.40
43,network,10,0.300,0.426546,0.709402,0.6570,1.175627,20000,0,52.67,16.06,68.94
44,network,10,0.300,0.427447,0.765771,0.7516,1.187553,20000,0,49.22,15.88,65.30
45,network,10,0.300,0.421503,0.478946,0.7722,1.184202,20000,0,46.00,15.98,62.18
46,network,10,0.300,0.421930,0.841872,0.5600,1.179862,20000,0,54.01,19.30,73.58
47,network,10,0.300,0.433794,1.026722,0.4570,1.186664,20000,0,59.80,17.12,77.18
48,network,10,0.300,0.428737,1.039270,0.4601,1.190652,20000,0,54.47,16.82,71.48
49,network,10,0.300,0.433635,0.959092,0.5263,1.193858,20000,0,52.89,18.20,71.29
50,network,11,0.300,0.437235,0.986393,0.5241,1.197180,20000,0,61.34,20.10,81.74
51,network,11,0.300,0.443108,1.064360,0.4903,1.197703,20000,0,64.03,16.53,80.83
52,network,11,0.300,0.427998,0.705762,0.5249,1.196259,20000,0,56.86,15.82,72.90
53,network,11,0.300,0.432084,0.723901,0.7435,1.198287,20000,0,56.83,15.94,73.01
54,network,11,0.300,0.441238,0.791326,0.5739,1.195903,20000,0,69.60,26.44,96.54
55,network,11,0.300,0.426386,1.065149,0.5186,1.199339,20000,0,92.69,29.43,122.55
56,network,11,0.300,0.423312,1.006559,0.5317,1.207427,20000,0,74.37,20.26,94.89
57,network,11,0.300,0.431910,0.881533,0.5165,1.204945,20000,0,68.33,20.93,89.56
58,network,11,0.300,0.436237,0.733513,0.6536,1.212605,20000,0,71.93,26.03,98.57
59,network,12,0.300,0.419252,0.805344,0.5349,1.212724,20000,1,71.77,20.41,92.48
60,network,12,0.300,0.445758,0.828923,0.5613,1.215689,20000,0,65.40,19.78,85.42
61,network,12,0.300,0.434486,0.994859,0.5401,1.220896,20000,0,76.93,18.90,96.27
62,network,12,0.300,0.428269,0.860602,0.5163,1.220735,20000,0,78.97,26.68,106.22
63,network,12,0.300,0.430589,0.980482,0.6504,1.218015,20000,0,72.74,18.84,91.84
64,network,12,0.300,0.438091,0.704865,0.6898,1.225145,20000,0,87.75,30.42,119.30
65,network,12,0.300,0.452715,0.663092,0.6937,1.233008,20000,0,76.58,27.43,104.50
66,network,12,0.300,0.430181,0.776078,0.6258,1.222546,20000,0,93.68,21.26,115.24
67,network,13,0.300,0.409738,0.852868,0.6028,1.231450,20000,0,83.78,19.91,104.21
68,network,13,0.300,0.437753,1.011682,0.4807,1.229757,20000,1,71.96,19.39,91.65
69,network,13,0.300,0.426089,0.960244,0.5101,1.232807,20000,0,74.35,17.51,92.16
70,network,13,0.300,0.425567,0.936335,0.5735,1.227708,20000,0,67.98,20.73,88.98
71,network,13,0.300,0.422867,0.835962,0.5629,1.222877,20000,0,64.51,17.17,81.95
72,network,13,0.300,0.411052,0.850166,0.5458,1.216518,20000,0,63.89,17.41,81.56
73,network,13,0.300,0.411015,0.931082,0.5665,1.216256,20000,1,63.67,19.34,83.33
74,network,13,0.300,0.415317,0.775232,0.5828,1.222699,20000,0,67.05,18.70,86.04
75,network,14,0.300,0.398441,0.971164,0.4772,1.222058,20000,0,60.86,16.82,77.92
76,network,14,0.300,0.425282,0.789036,0.3527,1.211809,20000,0,63.24,16.48,79.99
77,network,14,0.300,0.419308,0.774013,0.6517,1.205976,20000,0,60.96,16.42,77.71
78,network,14,0.300,0.388102,0.983031,0.4975,1.202049,20000,0,72.16,16.24,88.66
79,network,14,0.300,0.412049,0.848006,0.7028,1.204898,20000,0,52.15,15.75,68.15
80,network,14,0.300,0.413826,0.868283,0.5248,1.196011,20000,0,61.16,16.12,77.57
81,network,14,0.300,0.441982,0.540357,0.7279,1.201293,20000,0,62.39,18.83,81.52
82,network,14,0.300,0.461373,1.000082,0.5416,1.191448,20000,0,64.59,21.59,86.50
83,network,14,0.300,0.446503,0.796902,0.5457,1.198856,20000,0,74.22,19.36,93.99
84,network,15,0.300,0.438869,0.795116,0.7401,1.200617,20000,0,70.70,17.20,88.24
85,network,15,0.300,0.413696,0.706276,0.6798,1.191714,20000,0,67.36,20.30,88.13
86,network,15,0.300,0.402318,0.754593,0.6667,1.192421,20000,0,53.39,18.33,71.96
87,network,15,0.300,0.406288,0.758409,0.6570,1.193334,20000,0,75.71,21.88,98.01
88,network,15,0.300,0.396678,0.856527,0.6552,1.187727,20000,0,80.30,21.23,101.88
89,network,15,0.300,0.408410,0.576276,0.7264,1.184319,20000,0,75.09,20.66,96.08
90,network,15,0.300,0.407972,0.870615,0.6739,1.189341,20000,0,69.66,16.68,86.67
91,network,15,0.300,0.400875,0.943000,0.5250,1.185817,20000,0,73.67,18.69,92.65
