gen,eval,turn_cap,mix_w,gate_score,promoted,value_loss,val_value_loss,val_sign_acc,policy_loss,buffer,decisive,selfplay_s,train_s,total_s
0,heuristic,5,0.000,nan,0,0.991164,1.000457,0.5000,1.132128,720,0,3.96,5.77,9.95
1,network,5,0.030,0.594,1,0.899347,0.819278,0.5000,nan,1439,0,39.23,13.29,52.89
2,network,5,0.060,0.938,1,0.797844,1.020526,0.4190,nan,2141,0,48.81,18.52,67.70
3,network,5,0.090,0.375,0,0.769905,0.974524,0.5841,nan,2854,0,46.08,26.24,72.69
4,network,5,0.120,0.000,0,0.719424,1.086248,0.4078,nan,3569,0,47.69,29.00,77.03
5,network,5,0.150,0.562,1,0.725398,0.892948,0.4707,nan,4253,0,50.96,27.98,79.35
6,network,5,0.180,0.406,0,0.714901,0.964813,0.4603,1.095489,4981,0,46.18,25.97,72.47
7,network,5,0.210,0.344,0,0.657689,0.848249,0.6209,1.099693,5696,0,39.83,24.06,64.17
8,network,5,0.240,0.344,0,0.607956,0.801905,0.5440,1.101969,6423,0,38.91,24.83,64.04
9,network,5,0.270,0.750,1,0.573152,1.016334,0.5597,1.092080,7148,0,45.38,25.75,71.79
10,network,6,0.300,0.312,0,0.551497,0.816092,0.6495,1.091454,8154,0,94.39,31.10,126.30
