gen,terminals,positions,buffer,policy_loss,value_loss,heuristic_weight
1,0,1207,1207,1.063175,0.003868,1.0000
2,0,1212,2419,0.643221,0.001903,0.9800
3,0,1213,3632,0.598478,0.001915,0.9600
4,0,1227,4859,0.483528,0.000879,0.9400
5,1,1253,6112,0.410011,0.002415,0.9200
6,1,1157,7269,0.384422,0.001856,0.9000
7,0,1184,8453,0.370148,0.000741,0.8800
8,0,1202,9655,0.365815,0.000747,0.8600
9,0,1203,10858,0.377318,0.000653,0.8400
10,0,1203,12061,0.367890,0.000552,0.8200
11,0,1279,13340,0.371801,0.000511,0.8000
12,0,1236,14576,0.356804,0.000480,0.7800
13,0,1236,15812,0.370644,0.000456,0.7600
14,0,1201,17013,0.421481,0.000440,0.7400
15,0,1271,18284,0.438715,0.000426,0.7200
16,0,1237,19521,0.482912,0.000431,0.7000
